frame_id,roi_id,cls,x,y,width,height
0,38,0,1080,498,60,126
0,40,0,779,469,24,76
0,41,0,1305,468,27,51
0,42,0,918,470,30,52
0,85,11,477,527,59,114
1,38,0,1459,507,80,134
1,40,0,943,474,34,69
1,41,0,1394,473,26,49
1,42,0,1047,476,23,45
1,79,11,126,392,60,54
1,80,11,123,446,65,13
1,85,11,845,517,54,109
2,40,0,1104,463,27,69
2,41,0,1487,456,38,66
2,42,0,1172,464,38,57
2,45,13,-8,608,114,224
2,70,13,243,640,94,179
2,79,11,534,398,50,46
2,80,11,532,446,55,14
2,85,11,1161,498,75,97
3,40,0,1224,470,24,57
3,41,0,1562,471,29,49
3,42,0,1291,470,20,55
3,45,13,565,554,357,229
3,46,13,126,557,448,262
3,47,13,-5,577,149,260
3,70,13,1024,600,76,145
3,79,11,835,402,43,46
3,80,11,834,451,46,8
3,85,11,1406,500,74,91
4,40,0,1329,462,30,61
4,42,0,1387,467,33,50
4,45,13,1203,536,270,199
4,46,13,909,548,316,202
4,47,13,572,553,352,229
4,48,13,160,553,429,243
4,49,13,-11,570,188,241
4,70,13,1525,576,71,123
4,79,11,1074,404,42,42
4,80,11,1075,446,40,11
5,40,0,1415,466,27,57
5,42,0,1474,462,27,55
5,46,13,1388,536,220,186
5,47,13,1113,541,300,199
5,48,13,822,541,311,216
5,49,13,460,558,371,213
5,50,13,72,567,401,229
5,51,13,-7,567,107,238
5,79,11,1265,411,32,38
5,80,11,1264,450,32,11
6,24,0,160,480,39,93
6,40,0,1506,460,20,59
6,42,0,1569,453,35,67
6,47,13,1551,535,61,150
6,48,13,1325,531,261,175
6,49,13,1067,544,279,173
6,50,13,760,553,317,189
6,51,13,425,548,352,211
6,52,13,37,562,405,220
6,53,13,-1,573,59,215
6,79,11,1445,413,29,37
6,80,11,1446,453,29,7
7,24,0,444,488,34,83
7,49,13,1516,543,88,155
7,50,13,1281,539,265,172
7,51,13,1028,548,289,172
7,52,13,739,550,314,182
7,53,13,417,555,348,196
7,54,13,61,564,382,210
7,55,13,0,582,78,205
8,24,0,665,477,32,75
8,51,13,1441,521,176,170
8,52,13,1212,525,243,169
8,53,13,956,527,277,182
8,54,13,679,544,290,174
8,55,13,360,552,325,182
8,56,13,6,552,369,198
