timestamp_stop,sampling_time,sonic_0,sonic_1,sonic_2,sonic_3,sonic_4,sonic_5,sonic_6,sonic_7,sonic_8,sonic_9,sonic_10,sonic_11,sonic_12,sonic_13,sonic_14,sonic_15,sonic_16,sonic_17,sonic_18,sonic_19,sonic_20,sonic_21,sonic_22,sonic_23,sonic_24,sonic_25,sonic_26,sonic_27,sonic_28,sonic_29,sonic_30,sonic_31,sonic_32,sonic_33
1532402927604,0,30.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927606,2,25.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927608,2,20.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927610,2,15.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927612,2,10.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927614,2,5.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927618,2,6.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927620,2,8.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927622,2,12.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
1532402927622,2,12.42,30.14,29.87,29.6,29.36,29.13,28.94,28.8,28.75,28.8,28.94,29.13,29.36,29.6,29.87,30.14,30.42,30.46,30.2,29.95,29.71,29.49,29.3,29.14,29.04,29,29.04,29.14,29.3,29.49,29.71,29.95,30.2,30.46
