timestamp_stop,lane_id,points,theta_0,theta_1,theta_2,theta_3
1532402927608,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1591 1543 1495 1446 1396 1349 1298 1247 1201 1155 1103 1058 1015 1015 1063 -1 -1 -1 -1 -1],-4.81396,-0.1006,0.01482,-0.0004
1532402927608,2,[986 -1 -1 -1 -1 -1 -1 -1 -1 945 -1 -1 -1 -1 -1 -1 -1 -1 907 -1 -1 -1 896 -1 896 -1 -1 -1 -1 -1],-0.59971,-0.03331,-0.00076,0.0
1532402927608,3,[100 -1 -1 -1 -1 -1 261 -1 -1 -1 -1 403 -1 -1 -1 -1 -1 -1 -1 635 -1 -1 723 -1 779 809 -1 -1 -1 -1],3.13516,-0.06456,-8e-05,0.0
1532402927608,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -9 65 124 186 260 317 371 420 469 522 587 652 718 769 -1 -1 -1],6.17381,-0.01056,-0.00154,1e-05
1532402927612,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1602 1555 1498 1446 1391 1336 1281 1226 1169 1116 1058 1001 974 1005 -1 -1 -1 -1],-5.4509,-0.08807,0.00902,-0.00017
1532402927612,2,[913 -1 -1 -1 -1 -1 907 -1 -1 -1 -1 -1 -1 -1 895 -1 -1 -1 -1 888 -1 885 -1 885 885 888 -1 -1 -1 -1],-0.24718,-0.053,-4e-05,-0.0
1532402927612,3,[-6 -1 -1 -1 -1 152 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 602 -1 -1 700 -1 -1 799 -1 -1 -1 -1],3.51682,-0.05719,-0.00043,0.0
1532402927612,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -18 26 86 148 213 271 331 384 448 508 566 619 692 762 -1 -1 -1],6.58101,-0.03053,-0.00011,-0.0
1532402927616,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1620 1580 1528 1468 1408 1354 1292 1236 1180 1132 1073 1015 957 988 -1 -1 -1 -1],-5.14459,-0.16581,0.01214,-0.0002
1532402927616,2,[851 -1 -1 -1 -1 -1 -1 859 -1 -1 -1 -1 -1 864 -1 -1 -1 -1 -1 870 -1 -1 875 876 878 880 -1 -1 -1 -1],0.01574,-0.05451,-0.0002,0.0
1532402927616,3,[-13 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 458 -1 -1 -1 -1 -1 665 -1 -1 -1 806 -1 -1 -1 -1],3.39608,-0.00606,-0.00341,4e-05
1532402927616,4,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -34 40 100 180 238 300 377 454 518 592 641 722 793 -1 -1 -1],7.72696,-0.10373,0.00056,-1e-05
1532402927620,1,[-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1612 -1 1490 -1 -1 1307 1232 1176 -1 1065 978 943 -1 -1 -1 -1],-6.24799,-0.07365,0.00558,-8e-05
1532402927620,2,[782 -1 -1 -1 -1 -1 -1 808 -1 -1 -1 -1 -1 -1 834 -1 -1 -1 -1 852 -1 -1 -1 868 -1 878 -1 -1 -1 -1],0.31977,-0.0613,-3e-05,-0.0
