frame_id,x,y,id,score
0,431,247,1,1
0,425,521,2,1
0,437,587,3,1
0,568,492,4,1
0,570,355,5,1
0,720,465,6,1
0,773,463,7,1
0,862,518,8,1
0,905,480,9,1
0,946,476,10,1
0,1023,478,11,1
0,1061,474,12,1
0,851,452,13,1
0,1276,241,14,1
1,125,55,1,1
1,127,559,2,1
1,140,647,3,1
1,485,497,4,1
1,488,302,5,1
1,725,451,6,1
1,771,453,7,1
1,869,515,8,1
1,920,472,9,1
1,946,472,10,1
1,1067,470,11,1
1,1104,468,12,1
1,861,442,13,1
1,1300,222,14,1
2,327,525,4,1
2,312,218,5,1
2,728,457,6,1
2,774,459,7,1
2,882,524,8,1
2,937,475,9,1
2,969,474,10,1
2,1116,475,11,1
2,1166,474,12,1
2,872,447,13,1
2,1331,214,14,1
2,377,335,12,1
2,450,532,13,1
2,520,521,14,1
3,730,454,6,1
3,772,452,7,1
3,899,524,8,1
3,954,465,9,1
3,986,464,10,1
3,1177,465,11,1
3,1236,467,12,1
3,61,223,12,1
3,886,433,13,1
3,370,541,13,1
3,1126,482,13,1
3,1370,194,14,1
3,472,519,14,1
4,725,460,6,1
4,774,458,7,1
4,919,537,8,1
4,971,468,9,1
4,1000,466,10,1
4,1241,470,11,1
4,1309,468,12,1
4,908,435,13,1
4,1414,178,14,1
4,275,561,13,1
4,415,538,14,1
4,1158,481,13,1
5,713,452,6,1
5,772,451,7,1
5,943,538,8,1
5,986,464,9,1
5,1018,464,10,1
5,1306,466,11,1
5,1386,464,12,1
5,921,427,13,1
5,122,585,13,1
5,1193,477,13,1
5,791,517,13,1
5,1444,153,14,1
5,345,548,14,1
6,695,458,6,1
6,766,460,7,1
6,973,558,8,1
6,1004,467,9,1
6,1031,469,10,1
6,1370,473,11,1
6,1465,475,12,1
6,939,433,13,1
6,1484,152,14,1
6,224,574,14,1
6,1236,487,13,1
6,780,522,13,1
7,662,452,6,1
7,734,444,7,1
7,1013,576,8,1
7,1027,463,9,1
7,1053,462,10,1
7,1452,470,11,1
7,1543,464,12,1
7,342,461,12,1
7,963,421,13,1
7,1298,489,13,1
7,772,520,13,1
7,1539,127,14,1
8,630,455,6,1
8,706,454,7,1
8,1068,603,8,1
8,1040,470,9,1
8,1068,467,10,1
8,1505,470,11,1
8,229,467,12,1
8,993,419,13,1
8,1379,492,13,1
8,764,531,13,1
